id,time,value,aqi,pollution
4,2023:07:01 23:00:00,51.8,141,Slightly unhealthy
5,2023:07:01 23:00:00,48.5,132,Slightly unhealthy
1,2023:07:01 23:00:00,35.7,100,Slightly unhealthy
2,2023:07:01 23:00:00,375.1,412,Extremely hazardous
3,2023:07:01 23:00:00,55.5,150,Unhealthy
4,2023:07:01 23:00:00,386.8,418,Extremely hazardous
5,2023:07:01 23:00:00,47.7,130,Slightly unhealthy
1,2023:07:01 23:00:00,55.3,150,Slightly unhealthy
2,2023:07:01 23:00:00,53.9,146,Slightly unhealthy
3,2023:07:01 23:00:00,43.6,120,Slightly unhealthy
4,2023:07:01 23:00:00,42.1,116,Slightly unhealthy
5,2023:07:01 23:00:00,491.0,470,Extremely hazardous
1,2023:07:01 23:00:00,198.0,248,Very unhealthy
2,2023:07:01 23:00:00,53.3,144,Slightly unhealthy
3,2023:07:01 23:00:00,47.3,130,Slightly unhealthy
4,2023:07:01 23:00:00,45.5,125,Slightly unhealthy
5,2023:07:01 23:00:00,55.1,149,Slightly unhealthy
1,2023:07:01 23:00:00,36.4,102,Slightly unhealthy
2,2023:07:01 23:00:00,5.1,21,Good
3,2023:07:01 23:00:00,40.4,112,Slightly unhealthy
4,2023:07:01 23:00:00,37.6,105,Slightly unhealthy
5,2023:07:01 23:00:00,42.7,118,Slightly unhealthy
1,2023:07:01 23:00:00,12.0,50,Moderate
2,2023:07:01 23:00:00,50.5,138,Slightly unhealthy
3,2023:07:01 23:00:00,38.8,108,Slightly unhealthy
4,2023:07:01 23:00:00,55.3,150,Slightly unhealthy
5,2023:07:01 23:00:00,10.4,43,Good
1,2023:07:01 23:00:00,46.2,127,Slightly unhealthy
2,2023:07:01 23:00:00,513.1,481,Extremely hazardous
3,2023:07:01 23:00:00,14.0,54,Moderate
4,2023:07:01 23:00:00,5.9,25,Good
5,2023:07:01 23:00:00,41.6,115,Slightly unhealthy
1,2023:07:01 23:00:00,10.6,44,Good
2,2023:07:01 23:00:00,462.4,456,Extremely hazardous
3,2023:07:01 23:00:00,49.9,136,Slightly unhealthy
4,2023:07:01 23:00:00,38.8,108,Slightly unhealthy
5,2023:07:01 23:00:00,174.1,224,Very unhealthy
1,2023:07:01 23:00:00,38.2,107,Slightly unhealthy
2,2023:07:01 23:00:00,211.8,261,Very unhealthy
3,2023:07:01 23:00:00,11.7,49,Good
4,2023:07:01 23:00:00,40.7,113,Slightly unhealthy
5,2023:07:01 23:00:00,39.9,111,Slightly unhealthy
1,2023:07:01 23:00:00,46.8,128,Slightly unhealthy
2,2023:07:01 23:00:00,33.4,96,Moderate
3,2023:07:01 23:00:00,41.1,114,Slightly unhealthy
4,2023:07:01 23:00:00,210.2,260,Very unhealthy
5,2023:07:01 23:00:00,52.7,143,Slightly unhealthy
1,2023:07:01 23:00:00,43.2,119,Slightly unhealthy
2,2023:07:01 23:00:00,38.4,107,Slightly unhealthy
3,2023:07:01 23:00:00,161.9,211,Very unhealthy
4,2023:07:01 23:00:00,51.9,141,Slightly unhealthy
5,2023:07:01 23:00:00,49.4,135,Slightly unhealthy
1,2023:07:01 23:00:00,54.2,147,Slightly unhealthy
2,2023:07:01 23:00:00,41.7,116,Slightly unhealthy
3,2023:07:01 23:00:00,41.1,114,Slightly unhealthy
4,2023:07:01 23:00:00,47.5,130,Slightly unhealthy
5,2023:07:01 23:00:00,187.0,236,Very unhealthy
1,2023:07:01 23:00:00,46.1,126,Slightly unhealthy
2,2023:07:01 23:00:00,50.3,137,Slightly unhealthy
3,2023:07:01 23:00:00,51.4,140,Slightly unhealthy
4,2023:07:01 23:00:00,43.1,119,Slightly unhealthy
5,2023:07:01 23:00:00,42.8,118,Slightly unhealthy
1,2023:07:01 23:00:00,50.1,136,Slightly unhealthy
2,2023:07:01 23:00:00,39.2,109,Slightly unhealthy
3,2023:07:01 23:00:00,11.2,47,Good
4,2023:07:01 23:00:00,40.9,114,Slightly unhealthy
5,2023:07:01 23:00:00,36.7,103,Slightly unhealthy
1,2023:07:01 23:00:00,11.5,48,Good
2,2023:07:01 23:00:00,42.5,118,Slightly unhealthy
3,2023:07:01 23:00:00,46.0,126,Slightly unhealthy
4,2023:07:01 23:00:00,191.4,241,Very unhealthy
5,2023:07:01 23:00:00,7.9,33,Good
1,2023:07:01 23:00:00,39.5,110,Slightly unhealthy
2,2023:07:01 23:00:00,37.3,104,Slightly unhealthy
3,2023:07:01 23:00:00,42.0,116,Slightly unhealthy
4,2023:07:01 23:00:00,51.0,139,Slightly unhealthy
5,2023:07:01 23:00:00,174.3,224,Very unhealthy
1,2023:07:01 23:00:00,41.8,116,Slightly unhealthy
2,2023:07:01 23:00:00,226.4,276,Very unhealthy
3,2023:07:01 23:00:00,60.1,152,Unhealthy
4,2023:07:01 23:00:00,44.4,122,Slightly unhealthy
5,2023:07:01 23:00:00,10.5,44,Good
1,2023:07:01 23:00:00,55.3,150,Slightly unhealthy
2,2023:07:01 23:00:00,191.7,241,Very unhealthy
3,2023:07:01 23:00:00,10.2,42,Good
4,2023:07:01 23:00:00,43.4,120,Slightly unhealthy
5,2023:07:01 23:00:00,7.3,30,Good
1,2023:07:01 23:00:00,14.9,56,Moderate
2,2023:07:01 23:00:00,44.1,122,Slightly unhealthy
3,2023:07:01 23:00:00,381.2,415,Extremely hazardous
4,2023:07:01 23:00:00,504.4,477,Extremely hazardous
5,2023:07:01 23:00:00,36.0,101,Slightly unhealthy
1,2023:07:01 23:00:00,9.7,40,Good
2,2023:07:01 23:00:00,400.1,425,Extremely hazardous
3,2023:07:01 23:00:00,235.5,285,Very unhealthy
4,2023:07:01 23:00:00,11.8,49,Good
5,2023:07:01 23:00:00,51.4,140,Slightly unhealthy
1,2023:07:01 23:00:00,9.1,38,Good
2,2023:07:01 23:00:00,39.2,109,Slightly unhealthy
3,2023:07:01 23:00:00,8.6,36,Good
4,2023:07:01 23:00:00,465.5,458,Extremely hazardous
5,2023:07:01 23:00:00,316.3,366,Hazardous
1,2023:07:01 23:00:00,46.7,128,Slightly unhealthy
2,2023:07:01 23:00:00,48.5,132,Slightly unhealthy
3,2023:07:01 23:00:00,53.7,146,Slightly unhealthy
4,2023:07:01 23:00:00,48.6,133,Slightly unhealthy
5,2023:07:01 23:00:00,53.1,144,Slightly unhealthy
1,2023:07:01 23:00:00,53.2,144,Slightly unhealthy
2,2023:07:01 23:00:00,47.3,130,Slightly unhealthy
3,2023:07:01 23:00:00,7.8,32,Good
4,2023:07:01 23:00:00,48.4,132,Slightly unhealthy
5,2023:07:01 23:00:00,42.4,117,Slightly unhealthy
1,2023:07:01 23:00:00,41.0,114,Slightly unhealthy
2,2023:07:01 23:00:00,44.5,122,Slightly unhealthy
3,2023:07:01 23:00:00,10.5,44,Good
4,2023:07:01 23:00:00,49.9,136,Slightly unhealthy
5,2023:07:01 23:00:00,44.4,122,Slightly unhealthy
1,2023:07:01 23:00:00,39.5,110,Slightly unhealthy
2,2023:07:01 23:00:00,44.6,123,Slightly unhealthy
3,2023:07:01 23:00:00,48.4,132,Slightly unhealthy
4,2023:07:01 23:00:00,50.4,137,Slightly unhealthy
5,2023:07:01 23:00:00,45.8,126,Slightly unhealthy
1,2023:07:01 23:00:00,461.8,456,Extremely hazardous
2,2023:07:01 23:00:00,42.4,117,Slightly unhealthy
3,2023:07:01 23:00:00,39.6,110,Slightly unhealthy
4,2023:07:01 23:00:00,51.7,140,Slightly unhealthy
5,2023:07:01 23:00:00,52.9,144,Slightly unhealthy
1,2023:07:01 23:00:00,10.8,45,Good
2,2023:07:01 23:00:00,8.3,35,Good
3,2023:07:01 23:00:00,53.5,145,Slightly unhealthy
4,2023:07:01 23:00:00,53.0,144,Slightly unhealthy
5,2023:07:01 23:00:00,41.8,116,Slightly unhealthy
1,2023:07:01 23:00:00,51.3,140,Slightly unhealthy
2,2023:07:01 23:00:00,7.6,32,Good
3,2023:07:01 23:00:00,168.0,218,Very unhealthy
4,2023:07:01 23:00:00,52.1,142,Slightly unhealthy
5,2023:07:01 23:00:00,438.8,444,Extremely hazardous
1,2023:07:01 23:00:00,37.1,104,Slightly unhealthy
2,2023:07:01 23:00:00,36.7,103,Slightly unhealthy
3,2023:07:01 23:00:00,45.6,125,Slightly unhealthy
4,2023:07:01 23:00:00,51.5,140,Slightly unhealthy
5,2023:07:01 23:00:00,366.4,408,Extremely hazardous
1,2023:07:01 23:00:00,13.9,54,Moderate
2,2023:07:01 23:00:00,196.0,246,Very unhealthy
3,2023:07:01 23:00:00,37.2,104,Slightly unhealthy
4,2023:07:01 23:00:00,43.4,120,Slightly unhealthy
5,2023:07:01 23:00:00,40.6,113,Slightly unhealthy
1,2023:07:01 23:00:00,43.7,120,Slightly unhealthy
2,2023:07:01 23:00:00,42.4,117,Slightly unhealthy
3,2023:07:01 23:00:00,51.5,140,Slightly unhealthy
4,2023:07:01 23:00:00,490.2,470,Extremely hazardous
5,2023:07:01 23:00:00,549.1,499,Extremely hazardous
1,2023:07:01 23:00:00,43.6,120,Slightly unhealthy
2,2023:07:01 23:00:00,289.2,339,Hazardous
3,2023:07:01 23:00:00,45.8,126,Slightly unhealthy
4,2023:07:01 23:00:00,42.8,118,Slightly unhealthy
5,2023:07:01 23:00:00,50.9,138,Slightly unhealthy
1,2023:07:01 23:00:00,420.8,435,Extremely hazardous
2,2023:07:01 23:00:00,46.5,128,Slightly unhealthy
3,2023:07:01 23:00:00,52.1,142,Slightly unhealthy
4,2023:07:01 23:00:00,42.9,118,Slightly unhealthy
5,2023:07:01 23:00:00,39.3,110,Slightly unhealthy
1,2023:07:01 23:00:00,49.0,134,Slightly unhealthy
2,2023:07:01 23:00:00,204.3,254,Very unhealthy
3,2023:07:01 23:00:00,49.6,135,Slightly unhealthy
4,2023:07:01 23:00:00,201.6,251,Very unhealthy
5,2023:07:01 23:00:00,25.3,78,Moderate
1,2023:07:01 23:00:00,54.8,148,Slightly unhealthy
2,2023:07:01 23:00:00,46.7,128,Slightly unhealthy
3,2023:07:01 23:00:00,45.8,126,Slightly unhealthy
4,2023:07:01 23:00:00,90.7,168,Unhealthy
5,2023:07:01 23:00:00,415.3,432,Extremely hazardous
1,2023:07:01 23:00:00,54.7,148,Slightly unhealthy
2,2023:07:01 23:00:00,365.9,408,Extremely hazardous
3,2023:07:01 23:00:00,39.9,111,Slightly unhealthy
4,2023:07:01 23:00:00,5.9,25,Good
5,2023:07:01 23:00:00,9.1,38,Good
1,2023:07:01 23:00:00,153.2,203,Very unhealthy
2,2023:07:01 23:00:00,41.2,114,Slightly unhealthy
3,2023:07:01 23:00:00,39.3,110,Slightly unhealthy
4,2023:07:01 23:00:00,44.1,122,Slightly unhealthy
5,2023:07:01 23:00:00,19.0,65,Moderate
1,2023:07:01 23:00:00,45.0,124,Slightly unhealthy
2,2023:07:01 23:00:00,46.9,128,Slightly unhealthy
3,2023:07:01 23:00:00,36.4,102,Slightly unhealthy
4,2023:07:01 23:00:00,42.1,116,Slightly unhealthy
5,2023:07:01 23:00:00,47.9,131,Slightly unhealthy
1,2023:07:01 23:00:00,46.3,127,Slightly unhealthy
2,2023:07:01 23:00:00,53.1,144,Slightly unhealthy
3,2023:07:01 23:00:00,310.8,360,Hazardous
4,2023:07:01 23:00:00,257.6,307,Hazardous
5,2023:07:01 23:00:00,54.2,147,Slightly unhealthy
1,2023:07:01 23:00:00,36.8,103,Slightly unhealthy
2,2023:07:01 23:00:00,499.2,474,Extremely hazardous
3,2023:07:01 23:00:00,494.9,472,Extremely hazardous
4,2023:07:01 23:00:00,45.5,125,Slightly unhealthy
5,2023:07:01 23:00:00,52.7,143,Slightly unhealthy
1,2023:07:01 23:00:00,11.0,46,Good
2,2023:07:01 23:00:00,48.2,132,Slightly unhealthy
3,2023:07:01 23:00:00,300.4,350,Hazardous
4,2023:07:01 23:00:00,5.4,22,Good
5,2023:07:01 23:00:00,53.8,146,Slightly unhealthy
1,2023:07:01 23:00:00,50.8,138,Slightly unhealthy
2,2023:07:01 23:00:00,41.2,114,Slightly unhealthy
3,2023:07:01 23:00:00,195.0,244,Very unhealthy
4,2023:07:01 23:00:00,53.7,146,Slightly unhealthy
5,2023:07:01 23:00:00,35.9,101,Slightly unhealthy
1,2023:07:01 23:00:00,6.8,28,Good
2,2023:07:01 23:00:00,285.7,335,Hazardous
3,2023:07:01 23:00:00,38.3,107,Slightly unhealthy
4,2023:07:01 23:00:00,51.4,140,Slightly unhealthy
5,2023:07:01 23:00:00,463.1,456,Extremely hazardous
1,2023:07:01 23:00:00,45.2,124,Slightly unhealthy
2,2023:07:01 23:00:00,38.0,106,Slightly unhealthy
3,2023:07:01 23:00:00,172.4,222,Very unhealthy
4,2023:07:01 23:00:00,38.3,107,Slightly unhealthy
5,2023:07:01 23:00:00,47.3,130,Slightly unhealthy
1,2023:07:01 23:00:00,8.0,33,Good
2,2023:07:01 23:00:00,11.9,50,Good
3,2023:07:01 23:00:00,42.2,117,Slightly unhealthy
4,2023:07:01 23:00:00,39.0,109,Slightly unhealthy
5,2023:07:01 23:00:00,7.6,32,Good
1,2023:07:01 23:00:00,45.8,126,Slightly unhealthy
2,2023:07:01 23:00:00,43.3,120,Slightly unhealthy
3,2023:07:01 23:00:00,38.0,106,Slightly unhealthy
4,2023:07:01 23:00:00,45.9,126,Slightly unhealthy
5,2023:07:01 23:00:00,43.1,119,Slightly unhealthy
1,2023:07:01 23:00:00,47.1,129,Slightly unhealthy
2,2023:07:01 23:00:00,36.9,104,Slightly unhealthy
3,2023:07:01 23:00:00,42.8,118,Slightly unhealthy
4,2023:07:01 23:00:00,276.7,326,Hazardous
5,2023:07:01 23:00:00,38.0,106,Slightly unhealthy
1,2023:07:01 23:00:00,43.2,119,Slightly unhealthy
2,2023:07:01 23:00:00,15.8,58,Moderate
3,2023:07:01 23:00:00,6.8,28,Good
4,2023:07:01 23:00:00,51.7,140,Slightly unhealthy
5,2023:07:01 23:00:00,306.5,356,Hazardous
1,2023:07:01 23:00:00,45.3,124,Slightly unhealthy
2,2023:07:01 23:00:00,54.9,148,Slightly unhealthy
3,2023:07:01 23:00:00,408.8,429,Extremely hazardous
4,2023:07:01 23:00:00,9.6,40,Good
5,2023:07:01 23:00:00,44.0,121,Slightly unhealthy
1,2023:07:01 23:00:00,48.6,133,Slightly unhealthy
2,2023:07:01 23:00:00,55.1,149,Slightly unhealthy
3,2023:07:01 23:00:00,42.7,118,Slightly unhealthy
4,2023:07:01 23:00:00,45.4,125,Slightly unhealthy
5,2023:07:01 23:00:00,39.1,109,Slightly unhealthy
1,2023:07:01 23:00:00,48.0,131,Slightly unhealthy
2,2023:07:01 23:00:00,48.9,134,Slightly unhealthy
3,2023:07:01 23:00:00,35.8,101,Slightly unhealthy
4,2023:07:01 23:00:00,128.3,188,Unhealthy
5,2023:07:01 23:00:00,36.2,102,Slightly unhealthy
1,2023:07:01 23:00:00,138.6,194,Unhealthy
2,2023:07:01 23:00:00,5.8,24,Good
3,2023:07:01 23:00:00,50.8,138,Slightly unhealthy
4,2023:07:01 23:00:00,43.2,119,Slightly unhealthy
5,2023:07:01 23:00:00,45.8,126,Slightly unhealthy
1,2023:07:01 23:00:00,17.2,61,Moderate
2,2023:07:01 23:00:00,41.0,114,Slightly unhealthy
3,2023:07:01 23:00:00,92.2,169,Unhealthy
4,2023:07:01 23:00:00,53.6,145,Slightly unhealthy
5,2023:07:01 23:00:00,53.1,144,Slightly unhealthy
1,2023:07:01 23:00:00,49.0,134,Slightly unhealthy
2,2023:07:01 23:00:00,11.4,48,Good
3,2023:07:01 23:00:00,45.8,126,Slightly unhealthy
4,2023:07:01 23:00:00,12.9,52,Moderate
5,2023:07:01 23:00:00,215.7,265,Very unhealthy
1,2023:07:01 23:00:00,380.7,415,Extremely hazardous
2,2023:07:01 23:00:00,48.5,132,Slightly unhealthy
3,2023:07:01 23:00:00,12.6,51,Moderate
4,2023:07:01 23:00:00,49.2,134,Slightly unhealthy
5,2023:07:01 23:00:00,54.9,148,Slightly unhealthy
1,2023:07:01 23:00:00,42.5,118,Slightly unhealthy
2,2023:07:01 23:00:00,54.0,146,Slightly unhealthy
3,2023:07:01 23:00:00,324.0,374,Hazardous
4,2023:07:01 23:00:00,35.9,101,Slightly unhealthy
5,2023:07:01 23:00:00,51.9,141,Slightly unhealthy
1,2023:07:01 23:00:00,485.7,468,Extremely hazardous
2,2023:07:01 23:00:00,252.1,302,Hazardous
3,2023:07:01 23:00:00,53.0,144,Slightly unhealthy
4,2023:07:01 23:00:00,50.8,138,Slightly unhealthy
5,2023:07:01 23:00:00,43.5,120,Slightly unhealthy
1,2023:07:01 23:00:00,43.4,120,Slightly unhealthy
2,2023:07:01 23:00:00,55.3,150,Slightly unhealthy
3,2023:07:01 23:00:00,45.0,124,Slightly unhealthy
4,2023:07:01 23:00:00,39.3,110,Slightly unhealthy
5,2023:07:01 23:00:00,51.3,140,Slightly unhealthy
1,2023:07:01 23:00:00,50.0,136,Slightly unhealthy
2,2023:07:01 23:00:00,367.4,408,Extremely hazardous
3,2023:07:01 23:00:00,42.1,116,Slightly unhealthy
4,2023:07:01 23:00:00,40.0,111,Slightly unhealthy
5,2023:07:01 23:00:00,54.6,148,Slightly unhealthy
1,2023:07:01 23:00:00,39.1,109,Slightly unhealthy
2,2023:07:01 23:00:00,212.2,262,Very unhealthy
3,2023:07:01 23:00:00,510.2,480,Extremely hazardous
4,2023:07:01 23:00:00,54.2,147,Slightly unhealthy
5,2023:07:01 23:00:00,45.4,125,Slightly unhealthy
1,2023:07:01 23:00:00,54.3,147,Slightly unhealthy
2,2023:07:01 23:00:00,76.6,161,Unhealthy
3,2023:07:01 23:00:00,13.7,54,Moderate
4,2023:07:01 23:00:00,51.5,140,Slightly unhealthy
5,2023:07:01 23:00:00,153.1,203,Very unhealthy
1,2023:07:01 23:00:00,42.4,117,Slightly unhealthy
2,2023:07:01 23:00:00,49.9,136,Slightly unhealthy
3,2023:07:01 23:00:00,11.1,46,Good
4,2023:07:01 23:00:00,36.1,102,Slightly unhealthy
5,2023:07:01 23:00:00,35.9,101,Slightly unhealthy
1,2023:07:01 23:00:00,55.0,149,Slightly unhealthy
2,2023:07:01 23:00:00,47.9,131,Slightly unhealthy
3,2023:07:01 23:00:00,43.5,120,Slightly unhealthy
4,2023:07:01 23:00:00,210.9,260,Very unhealthy
5,2023:07:01 23:00:00,7.6,32,Good
1,2023:07:01 23:00:00,51.4,140,Slightly unhealthy
2,2023:07:01 23:00:00,44.0,121,Slightly unhealthy
3,2023:07:01 23:00:00,5.3,22,Good
4,2023:07:01 23:00:00,38.2,107,Slightly unhealthy
5,2023:07:01 23:00:00,446.6,448,Extremely hazardous
1,2023:07:01 23:00:00,219.5,269,Very unhealthy
2,2023:07:01 23:00:00,24.6,77,Moderate
3,2023:07:01 23:00:00,348.3,398,Hazardous
4,2023:07:01 23:00:00,52.8,143,Slightly unhealthy
5,2023:07:01 23:00:00,52.9,144,Slightly unhealthy
1,2023:07:01 23:00:00,180.1,230,Very unhealthy
2,2023:07:01 23:00:00,45.1,124,Slightly unhealthy
3,2023:07:01 23:00:00,53.8,146,Slightly unhealthy
4,2023:07:01 23:00:00,49.5,135,Slightly unhealthy
5,2023:07:01 23:00:00,44.5,122,Slightly unhealthy
1,2023:07:01 23:00:00,9.4,39,Good
2,2023:07:01 23:00:00,41.9,116,Slightly unhealthy
3,2023:07:01 23:00:00,51.0,139,Slightly unhealthy
4,2023:07:01 23:00:00,48.7,133,Slightly unhealthy
5,2023:07:01 23:00:00,409.3,429,Extremely hazardous
1,2023:07:01 23:00:00,316.1,366,Hazardous
2,2023:07:01 23:00:00,42.0,116,Slightly unhealthy
3,2023:07:01 23:00:00,442.4,446,Extremely hazardous
4,2023:07:01 23:00:00,99.6,173,Unhealthy
5,2023:07:01 23:00:00,42.0,116,Slightly unhealthy
1,2023:07:01 23:00:00,44.3,122,Slightly unhealthy
2,2023:07:01 23:00:00,53.0,144,Slightly unhealthy
3,2023:07:01 23:00:00,43.8,121,Slightly unhealthy
4,2023:07:01 23:00:00,48.6,133,Slightly unhealthy
5,2023:07:01 23:00:00,47.1,129,Slightly unhealthy
1,2023:07:01 23:00:00,37.3,104,Slightly unhealthy
2,2023:07:01 23:00:00,124.9,186,Unhealthy
3,2023:07:01 23:00:00,5.7,24,Good
4,2023:07:01 23:00:00,36.0,101,Slightly unhealthy
5,2023:07:01 23:00:00,48.4,132,Slightly unhealthy
1,2023:07:01 23:00:00,38.7,108,Slightly unhealthy
2,2023:07:01 23:00:00,8.8,37,Good
3,2023:07:01 23:00:00,54.7,148,Slightly unhealthy
4,2023:07:01 23:00:00,42.6,118,Slightly unhealthy
5,2023:07:01 23:00:00,7.5,31,Good
1,2023:07:01 23:00:00,487.1,468,Extremely hazardous
2,2023:07:01 23:00:00,42.7,118,Slightly unhealthy
3,2023:07:01 23:00:00,224.6,274,Very unhealthy
4,2023:07:01 23:00:00,153.8,203,Very unhealthy
5,2023:07:01 23:00:00,15.5,57,Moderate
1,2023:07:01 23:00:00,10.5,44,Good
2,2023:07:01 23:00:00,48.6,133,Slightly unhealthy
3,2023:07:01 23:00:00,5.8,24,Good
4,2023:07:01 23:00:00,36.8,103,Slightly unhealthy
5,2023:07:01 23:00:00,54.9,148,Slightly unhealthy
1,2023:07:01 23:00:00,49.2,134,Slightly unhealthy
2,2023:07:01 23:00:00,341.5,391,Hazardous
3,2023:07:01 23:00:00,7.7,32,Good
4,2023:07:01 23:00:00,36.0,101,Slightly unhealthy
5,2023:07:01 23:00:00,380.7,415,Extremely hazardous
1,2023:07:01 23:00:00,5.5,23,Good
2,2023:07:01 23:00:00,11.9,50,Good
3,2023:07:01 23:00:00,154.1,204,Very unhealthy
4,2023:07:01 23:00:00,37.5,105,Slightly unhealthy
5,2023:07:01 23:00:00,8.1,34,Good
1,2023:07:01 23:00:00,41.9,116,Slightly unhealthy
2,2023:07:01 23:00:00,49.7,136,Slightly unhealthy
3,2023:07:01 23:00:00,39.2,109,Slightly unhealthy
4,2023:07:01 23:00:00,39.9,111,Slightly unhealthy
5,2023:07:01 23:00:00,379.5,414,Extremely hazardous
1,2023:07:01 23:00:00,43.2,119,Slightly unhealthy
